KAWASAKI PUMP PRICE LIST,,,,,,,,,,
Line No.,Brand,,Machine Model No.,Pump No.,SKS Part No.,SKS  Pump No.,SKS Price(USD/PC),Remarks,Images,Description
11,KOBELCO,19,SK330-6E,K5V140DTP-9TBR,Y418-0022,SK5V140DTP-121R-9TBR-202,"1,480.00",,,"This hydraulic pump features the K5V140DTP-9TBR model and fits perfectly with SK330-6E excavators. Identified by part number Y418-0022 and SKS code SK5V140DTP-121R-9TBR-202, it offers excellent power transmission and hydraulic precision. Designed for heavy-duty tasks, it maintains system efficiency under demanding conditions."
12,KOBELCO,19,SK330-6 ,K5V140DTP-9TBS,Y418-0024,SK5V140DTP-121R-9TBS-202,"1,480.00",,,"Built to match K5V140DTP-9TBS specifications, this unit fits KOBELCO SK330-6 machines. SKS reference SK5V140DTP-121R-9TBS-202 and part Y418-0024 ensure compatibility and performance. Ideal for high-load environments, it enhances flow control and long-term stability across operations."
13,SUMITOMO,42,SH200-1,K3V112DT-9C12?12T),Y424-0090,SK3V112DT-10XR-9C12-201,"1,066.00",,,"A rugged K3V112DT-9C12 hydraulic pump (12T), this unit ensures reliable output for SH200-1. With SK3V112DT-10XR-9C12-201 as the SKS code and Y424-0090 as the part number, it's ideal for maintaining performance in older models requiring durable OEM-grade replacements."
14,SUMITOMO,42,SH240-5,K3V112DTP-G9Y14,Y424-0021,SK3V112DTP-11AR-9Y14-202,"1,487.00",,#NAME?,"Equipped with pump model K3V112DTP-G9Y14 and SK3V112DTP-11AR-9Y14-202 reference, this unit is tailored for SH240-5 systems. Y424-0021 ensures accurate part matching. Offers optimized output, long lifespan, and efficient fluid dynamics even in rough terrains."
15,SUMITOMO,42,SH200A3,K3V112DTP-9N49,Y424-0077,SK3V112DTP-11XR-9N49-012,"1,487.00",With PTO,#NAME?,"Featuring K3V112DTP-9N49 pump, this model supports Power Take-Off (PTO) functionality. Includes SKS SK3V112DTP-11XR-9N49-012 and part Y424-0077. Engineered for machines that demand extra auxiliary power control, it excels in multitask hydraulic environments."
16,SUMITOMO,42,SH290-5,K5V140DTP-9Y15,Y418-0020,SK5V140DTP-1AXR-9Y15-205,"1,480.00",,,"Fitted with the powerful K5V140DTP-9Y15 pump, part Y418-0020 and SK5V140DTP-1AXR-9Y15-205, this hydraulic pump is precision-crafted for SH290-5. It enables balanced load capacity and robust pressure retention, ideal for construction or mining sectors."
17,SUMITOMO,42,SH300A3,K5V140DTP-9N0A?big hole ?25?,Y418-0021,SK5V140DTP-1AXR-9NOA-205,"1,340.00",,,"This pump (K5V140DTP-9N0A) includes a big hole ?25, ideal for higher flow rate operations. With SKS code SK5V140DTP-1AXR-9NOA-205 and part Y418-0021, it guarantees steady performance for demanding machine environments."
18,SUMITOMO,42,SH350-5/SH300-5/CX360,K5V160DTP-9Y04,Y417-0005,SK5V160DTP-1AXR-9Y04-202,"2,100.00",,,"Using K5V160DTP-9Y04 pump, this model suits multiple heavy-duty excavators. With part Y417-0005 and SKS SK5V160DTP-1AXR-9Y04-202, it offers high efficiency in high-capacity applications, enabling long operation cycles with minimal downtime."
19,SUMITOMO,42,SH450-5,K3V180DTP-9Y0A,Y427-0018,SK3V180DTP-1AXR-9Y0A-202,"2,045.00",,,"Utilizes K3V180DTP-9Y0A hydraulic pump, engineered for high-torque demands. Matched with part Y427-0018 and SK3V180DTP-1AXR-9Y0A-202, it ensures stability and system longevity, especially in rugged field environments."
20,VOLVO,27,EC140,K3V63DT-9NOT,Y422-0001,SK3V63DT-110R-9N0Q-101,"1,066.00",,,"Built with K3V63DT-9NOT pump, this compact model suits EC140 perfectly. Includes SK3V63DT-110R-9N0Q-101 and Y422-0001 part number. Known for reliable output and precision flow control in mid-range machines."
21,VOLVO,27,EC210/EC240/EC210B,K3V112DT-9N24,Y424-0008,SK3V112DT-11AR-9N09-201,"1,066.00",,,"This variant features K3V112DT-9N24 pump, referenced under SKS code SK3V112DT-11AR-9N09-201 and Y424-0008 part number. It offers high responsiveness and stability under fluctuating workloads."
22,VOLVO,27,SE240-3/EC240B,K3V112DT-9N2A,Y424-0089,SK3V112DT-11AR-9N2A-201,"1,066.00",,,"Includes K3V112DT-9N2A pump, part Y424-0089, and SKS reference SK3V112DT-11AR-9N2A-201. Designed to maintain excellent hydraulic output and reliability in extended work conditions."
23,VOLVO,27,EC290,K3V140DT-9N04,Y426-0004,SK3V140DT-12AR-9N09-201,"1,766.00",,#NAME?,"A K3V140DT-9N04 pump, suitable for heavy load cycles. Includes Y426-0004 and SK3V140DT-12AR-9N09-201. Maintains consistent performance in intensive job sites, offering long service life."
24,VOLVO,27,EC360,K3V180DT-9N56,Y427-0015,SK3V180DT-12AR-9N09-001,"1,766.00",,,"Outfitted with K3V180DT-9N56, this system is matched to SK3V180DT-12AR-9N09-001 and part Y427-0015. High-capacity flow and resistance to wear make it ideal for demanding excavation tasks."
25,VOLVO,27,EC360,K3V180DTP-9N05,Y427-0017,SK3V180DTP-12AR-9N05-012,"2,075.00",With PTO,#NAME?,Designed with K3V180DTP-9N05 pump and PTO functionality. Includes part Y427-0017 and SKS SK3V180DTP-12AR-9N05-012. Capable of delivering both hydraulic drive and external power support.
26,VOLVO,27,EC460,K3V180DTH-9N2B,Y427-0017,SK3V180DTH-120R-9N2B-003,"2,231.00",,#NAME?,"Built around K3V180DTH-9N2B pump, featuring Y427-0017 and SK3V180DTH-120R-9N2B-003. Perfect for maximum pressure and temperature resistance. Designed for large excavators with high system demands."
27,VOLVO,27,EC460,K5V200DTH-9N0B,Y419-0009,SK5V200DTH-120R-9N0A-003,"2,100.00",,,This unit employs the K5V200DTH-9N0B pump with SK5V200DTH-120R-9N0A-003 and Y419-0009. Delivers top-tier hydraulic force for heavy machines working in extreme site conditions.
28,JCB,17,JS200/210/220/240,K3V112DTP-9C79,Y424-0069,SK3V112DTP-11AR-9C02-205,"1,100.00",Without  PTO,#NAME?,"The K3V112DTP-9C79 pump, matched with SK3V112DTP-11AR-9C02-205 and Y424-0069, operates without PTO. It's built for JCB machines that require high performance with simplified hydraulic configurations."
29,HYUNDAI,16,R130,K5V80DTP-9N05,Y413-0023,SK5V80DTP-100R-9N05-102,"1,200.00",,#NAME?,Hydraulic pump model K5V80DTP-9N05. Includes SKS SK5V80DTP-100R-9N05-102 and part Y413-0023. Great for compact machines needing strong torque and reliable performance.
30,HYUNDAI,16,R140-7,K5V80DTP-9C05,Y413-0005,SK5V80DTP-100R-9C0Q-102,"1,200.00",,,"Equipped with K5V80DTP-9C05 pump, SK5V80DTP-100R-9C0Q-102, and part Y413-0005. Engineered for responsive operation in smaller frame excavators with smooth hydraulic flow."
31,HYUNDAI,16,R130/150/160,K3V63DT-9N1S/9N01,Y422-0020,SK3V63DT-110R-9N01-101,"1,066.00",,,Fitted with dual code pump K3V63DT-9N1S/9N01. Includes SK3V63DT-110R-9N01-101 and part Y422-0020. Combines versatile compatibility with rugged performance.
32,HYUNDAI,16,R130/140-7,K3V63DT-9COS,Y422-0010,SK3V63DT-110R-9C0S-101,"1,066.00",,,K3V63DT-9COS pump variant. SKS code SK3V63DT-110R-9C0S-101 and Y422-0010 part number. Offers great fitment and operational consistency in mid-sized excavators.
33,HYUNDAI,16,R130/150/160,K3V63DT-9N01,Y422-0008,SK3V63DT-110R-9N09-101,"1,066.00",,,"Uses K3V63DT-9N01 pump, SK3V63DT-110R-9N09-101 and part Y422-0008. Standardized model for multiple units requiring dependable hydraulic performance."
34,HYUNDAI,16,R215-7,K3V112DT-9N3P,Y424-0091,SK3V112DT-10AR-9N3P-201,"1,066.00",,,"Pump model K3V112DT-9N3P, part Y424-0091, SKS SK3V112DT-10AR-9N3P-201. Offers premium fluid dynamics and durable service life for high-demand R215-7 units."
35,HYUNDAI,16,R215-9,K3V112DTP-9P12?big hole ?25?,Y424-0063,SK3V112DTP-10AR-9P12-205,"1,100.00",Positive Control?Without  PTO,,"This K3V112DTP-9P12 pump includes a big hole ?25. Positive control enabled, no PTO support. Reference SK3V112DTP-10AR-9P12-205, part Y424-0063."
36,HYUNDAI,16,R215-9T/R225-9T/275-9T,K3V112DTP-9N62?big hole ?25?,Y424-0075,SK3V112DTP-10XR-9N62-205,"1,100.00",Negative Control?Without  PTO,,"Uses K3V112DTP-9N62 pump (?25 big hole), negative control system, and no PTO. Y424-0075, SK3V112DTP-10XR-9N62-205. Best suited for advanced control systems."
37,HYUNDAI,16,R210-7/220-7/225-7,K3V112DT-9C32,Y424-0070,SK3V112DT-10AR-9C02-201,"1,066.00",,,"Upgrade your Hyundai R210-7, R220-7, or R225-7 with the K3V112DT-9C32 hydraulic pump, engineered for optimal power and durability. This model, SK3V112DT-10AR-9C02-201, ensures consistent performance under heavy workloads, making it ideal for demanding construction environments. Precision-designed to meet OEM standards, it offers superior flow rate and efficiency, improving machine productivity with reliable, long-lasting operation."
38,HYUNDAI,16,R290-7,K3V140DT-9C12,Y426-0013,SK3V140DT-11ER-9C02-201,"1,766.00",,,"The K3V140DT-9C12 hydraulic pump is a high-performance replacement for Hyundai R290-7 excavators. Designed with SK3V140DT-11ER-9C02-201 specs, this unit provides consistent flow and pressure to tackle intensive excavation tasks. Its robust design enhances durability while minimizing maintenance. Ideal for fleet repairs or direct replacements, it ensures your machine remains productive in harsh site conditions."
39,HYUNDAI,16,R300/320/330/320,K3V140DT-9N39,Y426-0008,SK3V140DT-11ER-9N09-201,"1,950.00",,#NAME?,"Perfect for Hyundai R300, R320, R330, and R320 excavators, the K3V140DT-9N39 hydraulic pump delivers dependable power output for continuous heavy-duty use. With the SK3V140DT-11ER-9N09-201 model configuration, this unit provides stable performance across varied job site challenges. Built for reliability and efficiency, it's suited for contractors needing sustained productivity without compromise."
40,HYUNDAI,16,R300-7/305LC-7,K5V140DTP-9C12?big hole ?25?,Y418-0019,SK5V140DTP-12AR-9C12-205,"1,340.00",,,"Designed for Hyundai R300-7 and 305LC-7, this big-hole variant of the K5V140DTP-9C12 hydraulic pump (?25) is engineered for maximum flow and output. Model SK5V140DTP-12AR-9C12-205 offers enhanced durability and efficiency for machines operating in tough environments. With superior OEM-level quality, it delivers long service life, reducing downtime and ensuring high system performance."
41,HYUNDAI,16,R320-3,K3V180DT-9N69,Y427-0002,SK3V180DT-12ER-9N09-201,"1,766.00",,,"Ensure your Hyundai R320-3 stays operational with the K3V180DT-9N69 hydraulic pump, a high-efficiency replacement unit featuring model SK3V180DT-12ER-9N09-201. Designed to meet the demands of continuous heavy-duty work, it maintains excellent flow dynamics, pressure tolerance, and durability. Ideal for field servicing or restoring full hydraulic capability."
42,HYUNDAI,16,R320-7/335-7,K3V180DT-9C69,Y427-0001,SK3V180DT-12ER-9C02-201,"1,766.00",,,"The K3V180DT-9C69 pump is a top-tier hydraulic solution for Hyundai R320-7 and 335-7 excavators. Built to match SK3V180DT-12ER-9C02-201 specs, this pump maintains stable pressure and optimized flow, ensuring smooth equipment operation under strenuous use. It provides reliability that contractors demand for long-term operation and heavy workloads."
43,HYUNDAI,16,R350/360-3/385-9T,K3V180DTH-9N1S/9N4S,Y427-0022,SK3V180DTH-120R-9N4S-203,"1,766.00",,,"Power your Hyundai R350, R360-3, or 385-9T with the rugged K3V180DTH-9N1S/9N4S hydraulic pump. Its replacement model, SK3V180DTH-120R-9N4S-203, is crafted for extreme performance and maximum pressure delivery. Built to endure rugged conditions, it supports high-output functions while maintaining system integrity."
44,HYUNDAI,16,R375,K3V180DTP-9COG,Y427-0021,SK3V180DTP-12AR-9COG-202,"1,820.00",Without  PTO,,"The K3V180DTP-9COG hydraulic pump for Hyundai R375 is engineered for precision and endurance. Matched with the SK3V180DTP-12AR-9COG-202 configuration, this unit delivers consistent hydraulic flow, boosting efficiency across demanding operations. Built with high-quality components, it ensures dependable performance and reduced machine downtime."
45,HYUNDAI,16,R455,K5V200DTH-9C0Z,Y419-0010,SK5V200DTH-120R-9C0Z-003,"2,100.00",,,"Specially designed for the Hyundai R455 excavator, the K5V200DTH-9C0Z pump is a high-output hydraulic solution matched to SK5V200DTH-120R-9C0Z-003. Built for extreme workloads, this model ensures maximum reliability and consistent performance in large-scale excavation and construction environments. Ideal for enhancing operational efficiency and machine response."
46,DOOSAN,13,DH120/S130,K3V63DT-HNOV,Y422-0002,SK3V63DT-110R-HNOQ-101,"1,066.00",,,"The K3V63DT-HNOV pump offers reliable hydraulic performance for Doosan DH120 and S130 models. With the SK3V63DT-110R-HNOQ-101 replacement, it maintains consistent flow and pressure, ensuring the machine performs at peak efficiency. It’s a trusted component that reduces wear and extends the service life of your equipment."
47,DOOSAN,13,DH220-5(leakage outlet?,K3V112DT-HN0V,Y424-0005,SK3V112DT-10ER-HNOV-201,"1,066.00",,,"Built for Doosan DH220-5 machines with leakage outlet configuration, the K3V112DT-HN0V hydraulic pump (SK3V112DT-10ER-HNOV-201) delivers excellent performance and pressure management. It’s designed to handle heavy-duty demands with smooth hydraulic operation and reduced energy loss, keeping your machine performing like new."
48,DOOSAN,13,DH225-7(leakage outlet?,K3V112DT-HN0V,Y424-0005,SK3V112DT-10ER-HNOV-201,"1,066.00",,,"Designed for the Doosan DH225-7 (leakage outlet), the K3V112DT-HN0V hydraulic pump (SK3V112DT-10ER-HNOV-201) provides dependable performance with optimized fluid dynamics. Engineered for high-pressure operations, it maintains reliable system functionality and enhances component life in construction applications."
49,DOOSAN,13,DX225,K3V112DTP-9N1T,Y424-0015,SK3V112DTP-10ER-9N09-205,"1,100.00",,,"The K3V112DTP-9N1T hydraulic pump is tailored for the Doosan DX225, providing exceptional power and flow control. Featuring replacement model SK3V112DTP-10ER-9N09-205, it’s ideal for maintaining hydraulic efficiency under heavy usage, improving reliability and lowering machine service needs."
50,DOOSAN,13,DH225-9?side PTO),K3V112DTP-HN2M,Y424-0024,SK3V112DTP-11ER-HNOV-022,"1,487.00",With PTO,#NAME?,"Powering Doosan DH225-9 machines with side PTO setups, the K3V112DTP-HN2M hydraulic pump matches the SK3V112DTP-11ER-HNOV-022 spec. It supports PTO applications while maintaining precise hydraulic control. Engineered for rugged conditions, it enhances long-term productivity and uptime."
51,DOOSAN,13,DX260?side PTO),K3V112DTP-9NM9,Y424-0045,SK3V112DTP-11AR-9N09-015,"1,301.00",With PTO,,"Designed for Doosan DX260 with side PTO, the K3V112DTP-9NM9 hydraulic pump (SK3V112DTP-11AR-9N09-015) ensures smooth performance in complex hydraulic systems. Its build quality and flow accuracy make it suitable for high-performance excavation equipment with minimal maintenance."
52,DOOSAN,13,DH258,K3V112DTP-HN1F,Y424-0048,SK3V112DTP-11ER-HNOV-012,"1,487.00",With PTO,,"The K3V112DTP-HN1F hydraulic pump is optimized for the Doosan DH258, featuring replacement model SK3V112DTP-11ER-HNOV-012. Built to withstand harsh workloads, it provides reliable power output and enhances overall machine performance and reliability on tough job sites."
53,DOOSAN,13,DH280 S280,K3V140DT-9N09,Y426-0004,SK3V140DT-12AR-9N09-201,"1,766.00",,#NAME?,"Serving Doosan DH280 and S280 excavators, the K3V140DT-9N09 pump (model SK3V140DT-12AR-9N09-201) delivers high-pressure efficiency. It’s built for rigorous conditions, offering long service life and precision hydraulic delivery, making it a great fit for heavy construction demands."
54,DOOSAN,13,S290,K3V140DT-HNOV,Y426-0010,SK3V140DT-12ER-HNOV-201,"1,766.00",,,"The K3V140DT-HNOV hydraulic pump is a direct match for Doosan S290 excavators, paired with SK3V140DT-12ER-HNOV-201. Designed to handle high flow rates and heavy use, it guarantees consistent power delivery and operational efficiency in demanding excavation tasks."
55,DOOSAN,13,S300-7,K5V140DTP-S9N01?small hole ?19?,Y418-0023,SK5V140DTP-12AR-9N01-202,"1,340.00",,,"Tailored for the Doosan S300-7, the K5V140DTP-S9N01 pump with small hole (?19) configuration matches SK5V140DTP-12AR-9N01-202. It’s crafted for performance stability and is ideal for heavy-duty hydraulic applications needing consistent performance and minimal downtime."
56,DOOSAN,13,DX300,K5V140DTP-S9N07?big hole?25?,Y418-0006,SK5V140DTP-12AR-9N09-205,"1,340.00",,,"The K5V140DTP-S9N07 pump with big hole (?25) for Doosan DX300 delivers increased fluid capacity and reliability. Featuring the SK5V140DTP-12AR-9N09-205 model, it ensures maximum output in high-pressure environments, perfect for tough excavation and lifting projects."
57,DOOSAN,13,DH320,K3V180DT-HN0P,Y427-0020,SK3V180DTP-12ER-HNOV-202,"1,766.00",,,"Specifically designed for the Doosan DH320, the K3V180DT-HN0P hydraulic pump (SK3V180DTP-12ER-HNOV-202) delivers consistent high-flow output. It supports large-scale applications with superior control and long-lasting durability, ensuring minimal maintenance interruptions."
58,SANY,41,SY130,K3V63DT-9N2H,Y422-0019,SK3V63DT-110R-9N2H-101,"1,066.00",,,"Perfect for SANY SY130, the K3V63DT-9N2H hydraulic pump (model SK3V63DT-110R-9N2H-101) is engineered for precision and durability. This pump ensures your equipment operates at peak hydraulic efficiency, offering seamless performance even under continuous work."
59,SANY,41,SY135,K3V63DT-9POH,Y422-0011,SK3V63DT-110R-9P0H-101,"1,066.00",,,"Compatible with SANY SY135, the K3V63DT-9P0H pump (model SK3V63DT-110R-9P0H-101) delivers superior hydraulic flow and control. Designed for compact excavators, it ensures responsive movement and long-term reliability, even in the most demanding tasks."
60,SANY,41,SY205/215 negative control CM,K3V112DTP-9TCM,Y424-0085,SK3V112DTP-110R-9TCM-202,"1,487.00",,#NAME?,"Engineered for SANY SY205/215 with negative control CM, the K3V112DTP-9TCM (SK3V112DTP-110R-9TCM-202) pump is built for optimal hydraulic balance and output. It handles rigorous site challenges with ease, improving equipment functionality and uptime."
61,SANY,41,SY205/215 positive control  8L,K3V112DTP-9T8L,Y424-0092,SK3V112DTP-110R-9T8L-202,"1,487.00",,#NAME?,"Delivering precision for SANY SY205/215 positive control 8L systems, the K3V112DTP-9T8L hydraulic pump (SK3V112DTP-110R-9T8L-202) supports advanced hydraulic control in heavy-duty applications. It ensures smooth operation with high reliability."
62,SANY,41,SY205/215 six holes  0E,K3V112DTP-0E11,Y424-0039,SK3V112DTP-110R-0E11-205,"1,487.00",,#NAME?,"Suited for SANY SY205/215 six-hole configuration, the K3V112DTP-0E11 hydraulic pump (SK3V112DTP-110R-0E11-205) offers superior fluid power delivery. Engineered for stable performance and longevity, it supports demanding job site conditions with ease."
63,SANY,41,SY235-8S/SY235-9,K5V140DTP-0E01,Y418-0014,SK5V140DTP-120R-OE01-205,"1,480.00",,#NAME?,"The K5V140DTP-0E01 pump is designed for SANY SY235-8S and SY235-9 excavators, matching model SK5V140DTP-120R-OE01-205. Built for consistent hydraulic output and long operational life, it helps maintain efficiency in high-load excavator operations."
64,SANY,41,SY235-8,K5V140DTP-9T1L,Y418-0025,SK5V140DTP-120R-9T1L-205,"1,480.00",,,"The K5V140DTP-9T1L hydraulic pump is designed for the SANY SY235-8 excavator, delivering efficient fluid power with model SK5V140DTP-120R-9T1L-205. Built to handle rigorous site conditions, it ensures reliable machine operation with consistent performance. Ideal for reducing downtime and enhancing operational control on tough excavation tasks."
65,SANY,41,SY335,K5V160DTH-9T06,Y417-0000,SK5V160DTH-120R-9T16-203,"2,100.00",,#NAME?,"Suited for the SANY SY335, the K5V160DTH-9T06 hydraulic pump (SK5V160DTH-120R-9T16-203) delivers high-pressure output and extended operational lifespan. Built to handle demanding workloads, this component provides powerful fluid dynamics and ensures stable performance across construction environments."
66,SANY,41,SY385,K5V200DTH-9N1H,Y419-0002,SK5V200DTH-120R-9N1H-203,"2,100.00",,#NAME?,"For SANY SY385 excavators, the K5V200DTH-9N1H pump with model SK5V200DTH-120R-9N1H-203 provides unmatched hydraulic performance in heavy-duty use. Its precision engineering enhances flow control and pump efficiency, reducing energy consumption and increasing operational productivity."
67,SANY,41,SY330/360 negative control ,K3V140DT-9TCM,Y426-0016,SK3V140DT-120R-9TCM-201,"1,766.00",,,"Built for SANY SY330/360 excavators with negative control systems, the K3V140DT-9TCM pump (SK3V140DT-120R-9TCM-201) delivers balanced pressure and responsive flow. Ideal for advanced hydraulic systems, it ensures machine responsiveness under continuous high-load applications."
68,SANY,41,SY285,K3V140DT-9T1L,Y426-0001,SK3V140DT-120R-9T1L-201,"1,766.00",,,"The K3V140DT-9T1L hydraulic pump, paired with the SK3V140DT-120R-9T1L-201 model, supports SANY SY285 excavators by delivering high-efficiency fluid transmission. Its durability and consistent performance make it a reliable replacement for intensive construction projects."
69,XCMG,43,XE135,K3V63DT-HNOV,Y422-0004,SK3V63DT-110R-HN0S-101,"1,066.00",,,"Designed for XCMG XE135 excavators, the K3V63DT-HNOV pump (SK3V63DT-110R-HN0S-101) is built for stable hydraulic flow and enhanced durability. Its compact and robust design offers reliable performance across varied applications while minimizing maintenance downtime."
70,XCMG,43,XE150,K3V63DT-9N4H,Y422-0003,SK3V63DT-110R-9N0S-101,"1,066.00",,,"The K3V63DT-9N4H hydraulic pump fits XCMG XE150 and features model SK3V63DT-110R-9N0S-101. Engineered for small-to-medium-sized excavators, it ensures efficient operation with excellent pressure control, perfect for improving overall job site efficiency."
71,XCMG,43,XE370CA/ XE335C/XE370DK/ XE335/XE370G/XE360UA /XE370,K5V160DTH-9N4A,Y417-0002,SK5V160DTH-120R-9N4A-203,"2,100.00",,,"Ideal for a range of XCMG models including XE370CA and XE335, the K5V160DTH-9N4A pump (SK5V160DTH-120R-9N4A-203) delivers top-tier hydraulic control. It offers robust construction and high power output to support demanding excavation work with long-lasting performance."
72,XCMG,43,XE150,K7V63DTP,Y1422-0003,SK7V63DTP-110R-9N0E-102,"1,300.00",,,"The K7V63DTP hydraulic pump is purpose-built for XCMG XE150 excavators. With replacement model SK7V63DTP-110R-9N0E-102, it offers superior precision in flow control and is optimized for compact hydraulic systems with continuous, stable output and efficiency."
73,XCMG,43,XE195/210/215/230/240,K3V112DT-9NC9,Y424-0076,SK3V112DT-11XR-9NC9-201,"1,066.00",,,"Supporting a wide range of XCMG machines from XE195 to XE240, the K3V112DT-9NC9 pump (SK3V112DT-11XR-9NC9-201) is engineered for high-load performance. Its durability and stable output make it ideal for operators looking for long-term reliability in medium-to-heavy equipment."
74,XCMG,43,XE195/210/215/230/240,K3V112DT-9ND9,Y424-0012,SK3V112DT-11XR-9N09-201,"1,066.00",,,"The K3V112DT-9ND9 pump is compatible with multiple XCMG excavators, featuring model SK3V112DT-11XR-9N09-201. Designed for versatile hydraulic needs, it provides consistent pressure delivery, increasing your machine’s operational effectiveness with minimal downtime."
75,XCMG,43,XE370C2/C3,K5V160DTH-9N3A,Y417-0002,SK5V160DTH-120R-9N4A-203,"2,100.00",,,"Designed for heavy-duty XCMG models such as XE370C2/C3, the K5V160DTH-9N3A hydraulic pump (SK5V160DTH-120R-9N4A-203) ensures high-pressure output and extended service life. It’s ideal for operations requiring continuous heavy lifting and deep excavation."
76,XCMG,43,XE450/470C3/490,K5V200DTH-9N1H,Y419-0002,SK5V200DTH-120R-9N1H-203,"2,100.00",,#NAME?,"The K5V200DTH-9N1H hydraulic pump is tailored for XCMG XE450 and 490 series machines. Model SK5V200DTH-120R-9N1H-203 delivers exceptional pressure capacity and durability, ensuring long-term reliability under extreme workload conditions in large-scale projects."
